Unnamed: 0.2,A_ID,B_ID,preA_ID,preB_ID,symbol,Protein_A,Protein_B,model_1_multimer_score(iptm+ptm),model_1_multimer_score(iptm),model_1_multimer_score(ptm),A template,B template,symbol_r
527,P61158,P10242,ACTR3,MYB,P10242__P61158,P10242,P61158,0.3759999952316284,0.3499999940395355,0.48,"['6id0_L', '6id1_L', '1h88_C', '5wsg_c', '7dco_L', '5gmk_c', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '1h89_C', '3zqc_J', '3zqc_A', '5gmk_c', '6id0_L', '6id1_L', '1h8a_C', '3jb9_W']","['4pl7_A', '4pl7_B', '7aqk_a', '2w49_D', '1k8k_A', '4jd2_A', '7aqk_b', '5afu_C', '3qb0_D', '3dwl_B', '4cbu_A', '4jd2_B', '6i4e_A', '6w18_B', '6w17_A', '6igm_G', '5i9e_C', '5nbm_A', '6ltj_J', '1k8k_B']",P61158__P10242
528,Q8N0U8,P40763,VKORC1L1,STAT3,P40763__Q8N0U8,P40763,Q8N0U8,0.2159999978542328,0.11999999731779099,0.6,"['1yvl_B', '6ux2_A', '1bg1_A', '4e68_A', '6njs_A', '7nuf_A', '1y1u_B', '6mbz_A', '5d39_A', '4y5u_A', '1uus_A', '1uur_A', '6wcz_A', '5oen_B', '4zia_D', '3wwt_A', '1bgf_A', '4zia_C', '6amw_A', '2cs0_A']","['6wvh_B', '4nv6_A', '4nv5_B', '6wvh_B', '4nv6_A', '4nv6_A', '4nv5_B', '6wvh_B', '4nv5_B', '4nv6_A']",Q8N0U8__P40763
529,P12110,P35221,COL6A2,CTNNA1,P35221__P12110,P35221,P12110,0.2739999957084656,0.23999999463558197,0.41,"['6upv_L', '4igg_B', '6bfi_B', '6bfi_A', '6nr7_A', '6upw_L', '1tr2_B', '6o3e_B', '6o3e_A', '6bfi_B', '6bfi_A', '5xfl_C', '5xfl_D', '5h5m_A', '6o3e_B', '6o3e_A', '5h5m_B', '6bfi_B', '6bfi_A', '6o3e_B']","['4cn9_A', '4cn9_B', '4cn9_A', '4cn9_B', '4neh_A', '4cn9_A', '4cn9_B', '5e6u_A', '4neh_A', '5e6s_C', '1n3y_A', '1idn_2', '2b2x_B', '1mf7_A', '1ao3_B', '1mhp_B', '1atz_B', '5e6u_A', '4okr_B', '1atz_A']",P12110__P35221
530,Q96HY6,P01106,DDRGK1,MYC,P01106__Q96HY6,P01106,Q96HY6,0.11600000286102297,0.09000000357627869,0.22,"['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nkp_B', '1nlw_A', '6g6k_B', '2ypa_A', '6g6j_B', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']","['1wi9_A', '1wi9_A']",Q96HY6__P01106
531,P62316,P16220,SNRPD2,CREB1,P16220__P62316,P16220,P62316,0.3200000019073486,0.3100000023841858,0.36,"['6iak_F', '5zk1_A', '1dh3_A', '2e42_B', '5vpe_C', '6uci_D', '1a02_J', '1a02_F', '5t01_A', '2wt7_A', '6iak_D', '1t2k_D', '1t2k_C', '2dgc_A', '1s9k_E', '1ysa_C', '2lxt_C']","['3pgw_Y', '3jb9_l', '3jb9_G', '7dco_n', '6n7p_M', '4f7u_D', '3pgw_B', '6id1_b', '5gm6_g', '5yzg_i', '3cw1_A', '3cw1_J', '1d3b_L', '4wzj_PPP', '6v4x_D', '6qw6_63', '1d3b_B', '6ppq_C', '6ppv_C', '6qdv_k']",P62316__P16220
532,Q9UJV9,P42574,DDX41,CASP3,P42574__Q9UJV9,P42574,Q9UJV9,0.20999999618530274,0.12999999523162842,0.53,"['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_B', '5jft_A', '2j30_A', '2j32_A', '1nms_B', '1i4o_B', '1gqf_B', '1m72_C', '4jr2_B', '1m72_A', '4hva_B', '3sir_A', '3sir_D']","['6qw6_5X', '6qx9_5X', '7oqe_p', '7oqb_p', '6y5q_p', '5e7i_C', '5e7j_A', '2i4i_A', '6uv1_A', '6uv2_A', '6uv3_A', '6o5f_A', '4d25_A', '4d26_A', '4nho_A', '2db3_B', '5dtu_A', '5ivl_A', '5ivl_B', '6qw6_5X']",Q9UJV9__P42574
533,P16989,P40763,YBX3,STAT3,P40763__P16989,P40763,P16989,0.2039999978542328,0.11999999731779099,0.54,"['1yvl_B', '6ux2_A', '1bg1_A', '4e68_A', '6njs_A', '7nuf_A', '1y1u_B', '6mbz_A', '5d39_A', '4y5u_A', '1uus_A', '1uur_A', '6wcz_A', '5oen_B', '4zia_D', '3wwt_A', '1bgf_A', '4zia_C', '6amw_A', '2cs0_A']","['6lms_A', '6a6j_A', '3ulj_B', '6a6l_A', '5udz_A', '1h95_A', '5o6f_A', '6kug_A', '2mqh_A', '3i2z_B', '5xv9_A', '3a0j_B', '3cam_B', '7ot5_B', '2es2_A', '1c9o_B', '2hax_A', '2lxj_A', '1g6p_A', '2mo1_A']",P16989__P40763
534,Q03135,P49716,CAV1,CEBPD,P49716__Q03135,P49716,Q03135,0.11799999856948853,0.07999999821186066,0.27,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '1nwq_A', '1nwq_A', '6mg1_A']",[],Q03135__P49716
535,Q16795,P16220,NDUFA9,CREB1,P16220__Q16795,P16220,Q16795,0.2240000047683716,0.15000000596046448,0.52,"['6iak_F', '5zk1_A', '1dh3_A', '2e42_B', '5vpe_C', '6uci_D', '1a02_J', '1a02_F', '5t01_A', '2wt7_A', '6iak_D', '1t2k_D', '1t2k_C', '2dgc_A', '1s9k_E', '1ysa_C', '2lxt_C']","['7v2k_J', '7v2e_J', '7v2h_J', '5xth_J', '6x89_A9', '7a23_T', '7ard_P', '7o71_E', '7ar7_P', '7b0n_P', '3wj7_B', '1r6d_A', '4u7w_B', '4w4t_B', '1r66_A', '6zll_D', '6wj9_B', '6wja_A', '6zlk_A', '6zl6_A']",Q16795__P16220
536,P35610,P01100,SOAT1,FOS,P01100__P35610,P01100,P35610,0.20599999618530274,0.12999999523162842,0.51,"['6mg1_A', '6mg2_B', '1hjb_D', '1io4_B', '1hjb_A', '2e42_B', '5vpe_C', '6uci_D', '1h89_A', '2wt7_A', '5t01_A', '1t2k_D', '1t2k_C', '1ci6_A', '1a02_F', '5zk1_A', '1s9k_D', '1a02_J', '1dh3_A', '1s9k_E']","['6l47_A', '6vum_A', '6l48_A', '7n6q_B', '7n6r_B', '6vz1_A', '6buh_F', '6bui_B', '6vum_A', '7n6r_B']",P35610__P01100
537,Q8ND56,Q07869,LSM14A,PPARA,Q07869__Q8ND56,Q07869,Q8ND56,0.30000000858306886,0.27000001072883606,0.42,"['3e00_D', '3dzy_D', '4nqa_I', '4nqa_B', '3dzy_A', '5uan_B', '4nqa_H', '3e00_A', '4nqa_A', '4iqr_F', '4iqr_E', '3ty0_A', '5u3q_A', '3noa_A', '6fzf_B', '2p54_A', '6lxa_A', '6ms7_A', '4ci5_B', '6fx0_A']","['2vxe_A', '2vxf_A', '6f9w_A', '6f9s_B', '6f9s_B']",Q8ND56__Q07869
538,Q9NRX3,P01106,NDUFA4L2,MYC,P01106__Q9NRX3,P01106,Q9NRX3,0.14999999618530274,0.12999999523162842,0.23,"['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nkp_B', '1nlw_A', '6g6k_B', '2ypa_A', '6g6j_B', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']",['5z62_N'],Q9NRX3__P01106
539,O75063,P04626,FAM20B,ERBB2,O75063__P04626,O75063,P04626,0.22600000143051147,0.17000000178813934,0.45,"['5yh0_K', '5xom_B', '4kqa_B', '4kqb_B', '4kqa_A', '5wrr_B', '5yh3_C', '5yh2_C', '4hne_A', '4hne_B', '4hnd_B', '4wtv_B', '5i0n_A']","['7mn5_B', '7mn8_B', '7sz0_B', '7syd_A', '7mn6_A', '7mn5_A', '6j71_A', '3qwq_A', '3njp_B', '4uv7_A', '2ahx_B', '2ahx_A', '4leo_C', '3u7u_D', '4p59_A', '5my6_A', '1m6b_B', '3wsq_A', '2a91_A', '3p11_A']",P04626__O75063
540,Q08211,P49716,DHX9,CEBPD,Q08211__P49716,Q08211,P49716,0.27600000143051145,0.17000000178813934,0.7,"['5aor_A', '5vhe_A', '5vha_A', '5vhd_D', '5n9d_B', '5n8r_B', '6up3_A', '6up2_A', '5yzg_Z', '6icz_Y', '6qdv_V', '6qid_A', '5ltj_A', '6sh6_A', '6hys_A', '6hyt_A', '6id1_V', '6hyt_B', '6fac_A', '6rm9_A']","['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '1nwq_A', '1nwq_A', '6mg1_A']",P49716__Q08211
541,P81605,P49715,DCD,CEBPA,P49715__P81605,P49715,P81605,0.2100000023841858,0.20000000298023224,0.25,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '5vpe_C', '6uci_D', '1nwq_A', '2wt7_A', '1t2k_D', '1a02_F', '1ysa_C', '2dgc_A']","['2ndk_A', '6shk_A', '2ymk_B']",P81605__P49715
542,Q3KQU3,P49715,MAP7D1,CEBPA,P49715__Q3KQU3,P49715,Q3KQU3,0.15000000047683718,0.14000000059604645,0.19,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '5vpe_C', '6uci_D', '1nwq_A', '2wt7_A', '1t2k_D', '1a02_F', '1ysa_C', '2dgc_A']",[],Q3KQU3__P49715
543,P01833,P49715,PIGR,CEBPA,P01833__P49715,P01833,P49715,0.20599999618530274,0.12999999523162842,0.51,"['2ocw_A', '5d4k_A', '7jg2_E', '3b43_A', '5lfu_A', '3dmk_A', '3dmk_A', '5lf5_A', '3dmk_A', '3b43_A', '5k6w_B', '2ocw_A', '6iaa_A', '3dmk_A', '7jg2_E', '2ocw_A', '5d4k_A', '5d4k_A', '5lf5_A', '5lfu_A']","['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '5vpe_C', '6uci_D', '1nwq_A', '2wt7_A', '1t2k_D', '1a02_F', '1ysa_C', '2dgc_A']",P49715__P01833
544,P07814,P23769,EPRS1,GATA2,P07814__P23769,P07814,P23769,0.20399999713897707,0.1599999964237213,0.38,"['4jyz_A', '5zdk_A', '5bnz_A', '1qtq_A', '1zjw_A', '7ot2_A', '5zdo_A', '6nab_B', '4twa_A', '4hvc_B', '6uyh_B', '5f9z_A', '7evv_A', '7evu_B', '1h4s_A', '4ye6_A', '1hc7_B', '5xil_A', '4wi1_A', '6mn8_A']","['4hc7_A', '4hc9_A', '1gat_A', '4gat_A', '3dfv_C', '2kae_A', '3dfx_B', '5o9b_A', '4hc7_A', '4hc9_A', '4hc7_A', '4hc9_A', '6zfv_A', '2vus_M', '2vut_P', '1gnf_A', '3dfv_C', '3dfx_B', '4gat_A', '2kae_A']",P23769__P07814
545,Q07955,P18846,SRSF1,ATF1,P18846__Q07955,P18846,Q07955,0.33000000286102293,0.3400000035762787,0.29,"['6iak_F', '5zk1_A', '1dh3_A', '5vpe_C', '6uci_D', '3a5t_B', '1a02_J', '1a02_F', '6iak_D', '5t01_A', '1s9k_D', '2wt7_A', '1t2k_D', '2dgc_A', '1t2k_C', '1s9k_E', '1ysa_C', '2lxt_C']","['7abg_A6', '7dvq_4', '2mjn_A', '6r5k_H', '6y53_o', '6r5k_H', '5mmj_v', '5mmm_v', '5x8p_v', '5x8r_v', '4f02_A', '6r5k_H', '1cvj_A', '1cvj_B', '1fxl_A', '1g2e_A', '6r5k_H', '6hpj_B', '1cvj_A', '1cvj_B']",Q07955__P18846
546,Q8WVC6,P42574,DCAKD,CASP3,P42574__Q8WVC6,P42574,Q8WVC6,0.18399999952316284,0.10999999940395355,0.48,"['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_B', '5jft_A', '2j30_A', '2j32_A', '1nms_B', '1i4o_B', '1gqf_B', '1m72_C', '4jr2_B', '1m72_A', '4hva_B', '3sir_A', '3sir_D']","['2f6r_A', '4zo4_A', '4zo4_D', '6n39_A', '6ari_B', '1t3h_A', '1vht_A', '4i1u_A', '4i1v_A', '4ttp_A', '4ttr_A', '1uf9_B', '2if2_A', '1jjv_A', '2grj_C', '6pwz_B', '1uj2_B', '2jeo_A', '3asz_B', '3w34_A']",Q8WVC6__P42574
547,P06858,P15336,LPL,ATF2,P15336__P06858,P15336,P06858,0.2620000023841858,0.20000000298023224,0.51,"['2i13_A', '2i13_B', '2rpc_A', '6ml4_A', '1tf6_D', '2jpa_A', '1ubd_C', '6b0o_D', '5ei9_F', '5kl3_A', '5kl4_A', '2ebt_A', '2rpc_A', '1tf6_D', '5egb_A', '1mey_F', '5ke7_A', '5kl4_A', '5kl3_A', '2i13_A']","['6ob0_B', '6oau_A', '2ppl_A', '1w52_X', '1hpl_A', '1lpa_B', '1lpb_B', '1bu8_A', '1rp1_A', '1gpl_A', '4qnn_A', '5g59_A', '5g5c_A', '4ufn_A', '3fob_C', '2zjf_A', '1c4x_A', '6i8w_B', '3qvm_B', '2e3j_A']",P06858__P15336
548,Q66PJ3,P01100,ARL6IP4,FOS,P01100__Q66PJ3,P01100,Q66PJ3,0.1339999978542328,0.11999999731779099,0.19,"['6mg1_A', '6mg2_B', '1hjb_D', '1io4_B', '1hjb_A', '2e42_B', '5vpe_C', '6uci_D', '1h89_A', '2wt7_A', '5t01_A', '1t2k_D', '1t2k_C', '1ci6_A', '1a02_F', '5zk1_A', '1s9k_D', '1a02_J', '1dh3_A', '1s9k_E']","['6i6r_B', '4mj2_A', '3w81_B']",Q66PJ3__P01100
549,Q8WXR4,P42574,MYO3B,CASP3,Q8WXR4__P42574,Q8WXR4,P42574,0.24800000572204592,0.18000000715255737,0.52,"['2dfs_M', '1i84_S', '3j04_A', '1qvi_A', '7pm0_A', '1g8x_B', '1w7j_A', '5tby_A', '6xe9_A', '1br1_G', '1kk8_A', '5n69_B', '1jx2_A', '2y0r_X', '7dhw_A', '5hmp_B', '4zg4_E', '1w9i_A', '6fsa_B', '6xe9_A']","['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_A', '5jft_B', '2j30_A', '2j32_A', '1nms_B', '1gqf_B', '1i4o_B', '1m72_C', '1m72_A', '4jr2_B', '4hva_B', '3sir_A', '3sir_D']",P42574__Q8WXR4
550,P07093,P01100,SERPINE2,FOS,P01100__P07093,P01100,P07093,0.19199999952316285,0.10999999940395355,0.52,"['6mg1_A', '6mg2_B', '1hjb_D', '1io4_B', '1hjb_A', '2e42_B', '5vpe_C', '6uci_D', '1h89_A', '2wt7_A', '5t01_A', '1t2k_D', '1t2k_C', '1ci6_A', '1a02_F', '5zk1_A', '1s9k_D', '1a02_J', '1dh3_A', '1s9k_E']","['4dy7_F', '4dy0_B', '1lj5_A', '4aqh_A', '4kds_A', '7aqf_B', '1att_A', '3kcg_I', '7pmu_A', '4p0o_A', '3fgq_A', '4p0f_A', '5cdz_A', '4zk0_A', '4ga7_A', '4zk3_A', '4ga7_B', '2arq_A', '2arr_A', '1hle_A']",P07093__P01100
551,Q86UP2,P01106,KTN1,MYC,Q86UP2__P01106,Q86UP2,P01106,0.16800000476837157,0.15000000596046448,0.24,[],"['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nlw_A', '1nkp_B', '6g6k_B', '6g6j_B', '2ypa_A', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']",P01106__Q86UP2
552,O43837,P49715,IDH3B,CEBPA,P49715__O43837,P49715,O43837,0.21200000047683717,0.14000000059604645,0.5,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '5vpe_C', '6uci_D', '1nwq_A', '2wt7_A', '1t2k_D', '1a02_F', '1ysa_C', '2dgc_A']","['2d1c_B', '6kdy_D', '3blx_E', '6kdf_E', '6kdf_M', '7ce3_B', '6lky_B', '4yb4_C', '1x0l_A', '6l59_B', '3blv_H', '6ltf_A', '3blx_O', '6l59_A', '1x0l_B', '6kdf_D', '3blx_P', '6kde_D', '1gc8_B', '3u1h_A']",O43837__P49715
553,Q7Z4W1,P10242,DCXR,MYB,P10242__Q7Z4W1,P10242,Q7Z4W1,0.15599999952316285,0.10999999940395355,0.34,"['6id0_L', '6id1_L', '1h88_C', '5wsg_c', '7dco_L', '5gmk_c', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '5eyb_A', '5eyb_B', '1h89_C', '3zqc_J', '3zqc_A', '5gmk_c', '6id0_L', '6id1_L', '1h8a_C', '3jb9_W']","['1pr9_B', '3d3w_A', '1cyd_C', '4ni5_A', '4ni5_B', '3rsh_B', '3emk_A', '4nbu_B', '4nbu_C', '5itw_A', '1vl8_A', '1vl8_B', '2uvd_D', '3enn_B', '4egf_A', '2p68_A', '2pnf_A', '4jro_C', '4jro_D', '3ftp_A']",Q7Z4W1__P10242
554,Q8WUY8,P42574,NAT14,CASP3,Q8WUY8__P42574,Q8WUY8,P42574,0.17800000119209292,0.10000000149011612,0.49,"['1ghe_B', '4jwp_A', '1ghe_A', '4j3g_C', '2wpw_A', '2wpx_A', '2j8m_B', '2vi7_C', '1vkc_B', '2q0y_A', '2wpw_A', '2wpx_A', '1yx0_A', '3pp9_A', '3pp9_C', '5isv_A', '5c82_A', '3lod_A', '1wk4_C', '2cy2_A']","['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_A', '5jft_B', '2j30_A', '2j32_A', '1nms_B', '1gqf_B', '1i4o_B', '1m72_C', '1m72_A', '4jr2_B', '4hva_B', '3sir_A', '3sir_D']",P42574__Q8WUY8
555,Q8NC51,P23769,SERBP1,GATA2,P23769__Q8NC51,P23769,Q8NC51,0.12799999952316285,0.10999999940395355,0.2,"['4hc7_A', '4hc9_A', '1gat_A', '4gat_A', '3dfv_C', '2kae_A', '3dfx_B', '5o9b_A', '4hc7_A', '4hc9_A', '4hc7_A', '4hc9_A', '6zfv_A', '2vus_M', '2vut_P', '1gnf_A', '3dfv_C', '3dfx_B', '4gat_A', '2kae_A']","['4v6x_Ah', '7old_B', '4v6w_Ah', '6mte_w', '7old_B', '6mte_w', '4v6x_Ah']",Q8NC51__P23769
556,Q13454,P01100,TUSC3,FOS,P01100__Q13454,P01100,Q13454,0.1480000011920929,0.10000000149011612,0.34,"['6mg1_A', '6mg2_B', '1hjb_D', '1io4_B', '1hjb_A', '2e42_B', '5vpe_C', '6uci_D', '1h89_A', '2wt7_A', '5t01_A', '1t2k_D', '1t2k_C', '1ci6_A', '1a02_F', '5zk1_A', '1s9k_D', '1a02_J', '1dh3_A', '1s9k_E']","['6c26_3', '4m91_A', '4m90_A', '6s7t_H', '7oci_C', '2dj1_A', '2b5e_A', '3boa_A', '3idv_A', '6i7s_B', '4ekz_A', '2alb_A', '1mek_A', '2dj2_A', '2dml_A', '3idv_A', '4ef0_A', '2b5e_A', '3boa_A', '3vww_A']",Q13454__P01100
557,P52907,P01106,CAPZA1,MYC,P01106__P52907,P01106,P52907,0.2700000033378601,0.23000000417232513,0.43,"['6g6k_C', '5i50_B', '1nkp_A', '5i4z_B', '1nkp_B', '1nlw_A', '6g6k_B', '2ypa_A', '6g6j_B', '1am9_C', '1am9_D', '6g1l_A', '1nlw_B', '1nlw_E', '7d8t_B', '1hlo_A', '1an4_A', '7d8s_D', '5g1x_B']","['7ds6_A', '5afu_K', '7ds2_A', '4akr_C', '4akr_A', '7a0h_A', '7a0h_A', '5afu_K', '4akr_A', '4akr_C']",P52907__P01106
558,P46821,P23769,MAP1B,GATA2,P46821__P23769,P46821,P23769,error,error,error,error,error,P23769__P46821
559,O94874,P04626,UFL1,ERBB2,P04626__O94874,P04626,O94874,0.21600000143051148,0.17000000178813934,0.4,"['7mn5_B', '7mn8_B', '7sz0_B', '7syd_A', '7mn6_A', '7mn5_A', '6j71_A', '3qwq_A', '3njp_B', '4uv7_A', '2ahx_B', '2ahx_A', '4leo_C', '3u7u_D', '4p59_A', '1m6b_B', '5my6_A', '3wsq_A', '2a91_A', '3p11_A']",['7eyb_I'],O94874__P04626
560,P15144,P04626,ANPEP,ERBB2,P04626__P15144,P04626,P15144,error,error,error,error,error,P15144__P04626
561,Q14683,P23769,SMC1A,GATA2,Q14683__P23769,Q14683,P23769,0.1880000047683716,0.15000000596046448,0.34,"['6yvu_B', '7ogt_A', '6yvd_D', '6wg3_B', '6wg3_A', '6yuf_A', '6yvd_C', '5xns_A', '6yuf_C', '6wg3_B', '6yvu_A', '6yvu_A', '5xg3_B', '3zgx_A', '5xei_A', '6wg3_A', '6yuf_C', '6qpw_E', '6yvd_C', '6wg4_A']","['4hc7_A', '4hc9_A', '1gat_A', '4gat_A', '3dfv_C', '2kae_A', '3dfx_B', '5o9b_A', '4hc7_A', '4hc9_A', '4hc7_A', '4hc9_A', '6zfv_A', '2vus_M', '2vut_P', '1gnf_A', '3dfv_C', '3dfx_B', '4gat_A', '2kae_A']",P23769__Q14683
562,Q9NYF8,P16220,BCLAF1,CREB1,Q9NYF8__P16220,Q9NYF8,P16220,0.16599999713897706,0.1599999964237213,0.19,[],"['6iak_F', '5zk1_A', '1dh3_A', '2e42_B', '5vpe_C', '6uci_D', '1a02_J', '1a02_F', '5t01_A', '2wt7_A', '6iak_D', '1t2k_D', '1t2k_C', '2dgc_A', '1s9k_E', '1ysa_C', '2lxt_C']",P16220__Q9NYF8
563,P35232,Q9Y2D1,PHB,ATF5,Q9Y2D1__P35232,Q9Y2D1,P35232,0.18399999618530277,0.12999999523162842,0.4,"['6irr_A', '5vpe_C', '6uci_D', '1t2k_D', '1ci6_A', '6irr_A']","['7vhq_I', '7vhq_E', '3bk6_A', '3bk6_B', '4fvf_B', '4fvg_A', '2rpb_A', '6iqe_A', '4fvg_A']",P35232__Q9Y2D1
564,P42330,P49716,AKR1C3,CEBPD,P49716__P42330,P49716,P42330,0.21599999618530275,0.12999999523162842,0.56,"['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '1nwq_A', '1nwq_A', '6mg1_A']","['1s1p_A', '3cv6_A', '4xo6_A', '3buv_A', '1afs_A', '3g1r_B', '3ln3_A', '6m7k_A', '4hbk_A', '3qkz_A', '3o3r_A', '4jir_A', '3wcz_A', '1us0_A', '2i16_A', '5ket_B', '5ket_A', '1mi3_C', '4gac_A', '4gie_A']",P42330__P49716
565,P62495,P18847,ETF1,ATF3,P18847__P62495,P18847,P62495,0.16199999856948855,0.07999999821186066,0.49,"['2e42_B', '5vpe_C', '6uci_D', '2wt7_A', '5t01_A', '1t2k_D', '1ci6_A', '1t2k_C', '1a02_F', '1s9k_D', '5zk1_A', '2dgc_A', '1a02_J', '1dh3_A', '1ysa_C', '1s9k_E']","['4d5n_A', '1dt9_A', '5dmq_B', '6xa1_j', '4crn_X', '4af1_A', '3vmf_B', '3agk_A', '4crm_X', '3mca_B', '5lzx_ii', '5lzz_ii', '3j15_A', '3e20_B', '3oby_A', '2ktv_A', '3ir9_A', '2mq9_A', '2hst_A', '5dmr_B']",P62495__P18847
566,Q9NQC3,P04626,RTN4,ERBB2,P04626__Q9NQC3,P04626,Q9NQC3,error,error,error,error,error,Q9NQC3__P04626
567,P58107,P10242,EPPK1,MYB,P58107__P10242,P58107,P10242,error,error,error,error,error,P10242__P58107
568,Q9NYU2,P23769,UGGT1,GATA2,Q9NYU2__P23769,Q9NYU2,P23769,0.36200000095367435,0.2800000011920929,0.69,"['5nv4_A', '5n2j_B', '6ts8_B', '6ts2_D', '6ts2_B', '5y7o_B', '5h18_A', '6fsn_A', '5gvv_A', '6u4b_A', '5gvw_A', '1g9r_A', '1ga8_A', '1ss9_A', '3tzt_A', '3tzt_B', '4wma_A', '4wmb_A', '3wzt_B', '3wzs_A']","['4hc7_A', '4hc9_A', '1gat_A', '4gat_A', '3dfv_C', '2kae_A', '3dfx_B', '5o9b_A', '4hc7_A', '4hc9_A', '4hc7_A', '4hc9_A', '6zfv_A', '2vus_M', '2vut_P', '1gnf_A', '3dfv_C', '3dfx_B', '4gat_A', '2kae_A']",P23769__Q9NYU2
569,P49716,P18847,CEBPD,ATF3,P18847__P49716,P18847,P49716,0.4700000076293946,0.49000000953674316,0.39,"['2e42_B', '5vpe_C', '6uci_D', '2wt7_A', '5t01_A', '1t2k_D', '1ci6_A', '1t2k_C', '1a02_F', '1s9k_D', '5zk1_A', '2dgc_A', '1a02_J', '1dh3_A', '1ysa_C', '1s9k_E']","['1io4_B', '1hjb_D', '6mg1_A', '6mg2_B', '1hjb_A', '2e42_B', '1h89_A', '1nwq_A', '1nwq_A', '6mg1_A']",P49716__P18847
570,P49821,P42574,NDUFV1,CASP3,P49821__P42574,P49821,P42574,0.23600000047683717,0.14000000059604645,0.62,"['7arc_F', '7o71_B', '7a23_A', '5xti_BA', '6vw7_D', '6vw7_B', '6i0d_1', '6q8o_B', '3iam_1', '7nyr_F', '6saq_B', '5xf9_A', '5xfa_A', '6q9c_D', '6tg9_B', '7e5z_B', '4wz7_B', '6ttl_A']","['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_A', '5jft_B', '2j30_A', '2j32_A', '1nms_B', '1gqf_B', '1i4o_B', '1m72_C', '1m72_A', '4jr2_B', '4hva_B', '3sir_A', '3sir_D']",P42574__P49821
571,Q12905,Q07869,ILF2,PPARA,Q07869__Q12905,Q07869,Q12905,0.19399999618530275,0.12999999523162842,0.45,"['3e00_D', '3dzy_D', '4nqa_I', '4nqa_B', '3dzy_A', '5uan_B', '4nqa_H', '3e00_A', '4nqa_A', '4iqr_F', '4iqr_E', '3ty0_A', '5u3q_A', '3noa_A', '6fzf_B', '2p54_A', '6lxa_A', '6ms7_A', '4ci5_B', '6fx0_A']","['4at7_A', '4at7_B', '4rwn_A', '4s3n_A', '6p80_A', '6u7b_C', '4xq7_A', '1px5_A', '6e0k_A', '1r89_A', '1r8c_A', '2dr9_A']",Q12905__Q07869
572,Q9NYU2,P42574,UGGT1,CASP3,Q9NYU2__P42574,Q9NYU2,P42574,0.26999999713897704,0.1599999964237213,0.71,"['5nv4_A', '5n2j_B', '6ts8_B', '6ts2_D', '6ts2_B', '5y7o_B', '5h18_A', '6fsn_A', '5gvv_A', '6u4b_A', '5gvw_A', '1g9r_A', '1ga8_A', '1ss9_A', '3tzt_A', '3tzt_B', '4wma_A', '4wmb_A', '3wzt_B', '3wzs_A']","['4fdl_B', '1f1j_A', '5ibp_A', '2nn3_C', '2nn3_D', '4qu9_A', '4jje_A', '5jft_B', '5jft_A', '2j30_A', '2j32_A', '1nms_B', '1i4o_B', '1gqf_B', '1m72_C', '4jr2_B', '1m72_A', '4hva_B', '3sir_A', '3sir_D']",P42574__Q9NYU2
